시설명,도로명 주소,지번 주소,설치용량(킬로와트),발전유형,설치년도,기준일자
종로구민회관(시설공단),종로구 지봉로5길 7-5(창신동),종로구 창신동 222-8 종로구구민회관,14.4,태양광,2015,2021-04-23
삼청동주민센터,종로구 삼청로107(삼청동),종로구 삼청동105-1 삼청동주민센터,10,태양광,2009,2021-04-23
혜화동자치회관,종로구 혜화로12(혜화동),종로구 혜화동 74-30,4.4,태양광,2011,2021-04-23
무악동주민센터,종로구 통일로14길 36,종로구 무악동 60-2 무악동주민센터,32.4,태양광,2016,2021-04-23
종로1234가동 청사,종로구 삼일대로30길 47,종로구 익선동 99 종로1.2.3.4가동 주민센터,27.5,태양광,2017,2021-04-23
평창동주민센터,종로구 평창문화로 65,종로구 평창동 186-9 평창동 주민센터,5.2,태양광,2009,2021-04-23
종로문화체육센터(시설공단),종로구 인왕산로1길 21,종로구 사직동 284-1 종로문화체육센터,28.8,태양광,2015,2021-04-23
환경미화원휴게소-기타,종로구 새문안로2길 22(신문로2가),종로구 신문로2가 154,5,태양광,2017,2021-04-23
종로노인종합복지관(복지관),종로구 율곡로19길 17-8(이화동),종로구 이화동25-1 종로노인종합복지관,32,태양광,2017,2021-04-23
종로종합사회복지관(복지관),종로구 지봉로13길 82(창신동),종로구 창신동23-344 종로종합사회복지관,10,태양광,2009,2021-04-23
부암경로당,종로구 지하문로 260,종로구 부암동 141-1,3.46,태양광,2018,2021-04-23
종로노인복지관(별관)-복지관(종로노인종합복지관 분관 무악센터),종로구 율곡로19길17-8(이화동),종로구 이화동25-1 종로노인종합복지관,10,태양광,2009,2021-04-23
무악동노인복지센터-복지관,종로구 통일로14길19(무악동),종로구 무악동69-3 무악경로당,3,태양광,2014,2021-04-23
종로장애인복지관 및 푸르메재활센터-복지관,종로구 자하문로 89(신교동),종로구 신교동66 종로구장애인복지관 및 푸르메재활센터,33,태양광,2012,2021-04-23
무악어린이집,종로구 통일로18길 64(무악동),종로구 무악동79 무악어린이집,10,태양광,2009,2021-04-23
청운어린이집,종로구 자하문로35길 21(청운동),종로구 청운동6-3 청운어린이집,5,태양광,2009,2021-04-23
종로구육아종합지원센터-기타,종로구 성균관로1길 6-3(명륜3가),종로구 명륜3가 147-1,10,태양광,2010,2021-04-23
창이어린이집(창신제일어린이집),종로구 낙산성곽동길 69(창신동),종로구 창신동 622-2 창이어린이집,6.3,태양광,2015,2021-04-23
삼청공원공중화장실1,종로구 북촌로 134-3(삼청동),종로구 삼청동 산2-2 삼청공원,4,태양광,2018,2021-04-23
인왕산도시자연공원청운화장실,종로구 청운동7-27,종로구 청운동7-27,4,태양광,2018,2021-04-23
와룡공영주차장,종로구 명륜길 26,종로구 명륜3가 1-21 명륜동 와룡공영주차장 및 문화센터,18.2,태양광,2018,2021-04-23
착한주차안내소,종로구 율곡로19길 17-8,종로구 이화동 25-1,3.46,태양광,2018,2021-04-23